symbol,interval,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
BTCUSDT,1d,1738108800000,101335.52000000,104782.68000000,101328.01000000,103733.24000000,23155.35802000,1738195199999,2380383694.77213620,5189699,11675.17182000,1200636637.81436690,0
BTCUSDT,1d,1738195200000,103733.25000000,106457.44000000,103278.54000000,104722.94000000,19374.07472000,1738281599999,2038112603.51264120,3990075,10140.92834000,1066933244.99202070,0
BTCUSDT,1d,1738281600000,104722.94000000,106012.00000000,101560.00000000,102429.56000000,21983.18193000,1738367999999,2282174002.19521760,4331904,10697.39968000,1111485874.12928450,0
BTCUSDT,1d,1738368000000,102429.56000000,102783.71000000,100279.51000000,100635.65000000,12290.95747000,1738454399999,1250354228.23722970,2588786,5625.89331000,572540016.14901110,0
BTCUSDT,1d,1738454400000,100635.66000000,101456.60000000,96150.00000000,97700.59000000,34619.49939000,1738540799999,3412084312.58362790,7202339,15587.16669000,1536076091.30301330,0
BTCUSDT,1d,1738540800000,97700.59000000,102500.01000000,91231.00000000,101328.52000000,75164.73850000,1738627199999,7228589180.71162140,10625262,36736.56946000,3537845694.48126590,0
BTCUSDT,1d,1738627200000,101328.51000000,101732.31000000,96150.00000000,97763.13000000,40267.98697000,1738713599999,3989698644.26493070,6618911,19091.58154000,1891457194.35983290,0
BTCUSDT,1d,1738713600000,97763.14000000,99149.00000000,96155.00000000,96612.43000000,26233.30444000,1738799999999,2562342153.82968530,4471763,11032.55174000,1078316288.14255890,0
BTCUSDT,1d,1738800000000,96612.44000000,99120.00000000,95676.64000000,96554.35000000,23515.20405000,1738886399999,2289071921.21756010,4242807,11261.53049000,1096611639.37600890,0
BTCUSDT,1d,1738886400000,96554.35000000,100137.99000000,95620.34000000,96506.80000000,31794.22065000,1738972799999,3107592434.67383420,5012456,15249.35370000,1491114588.55985190,0
BTCUSDT,1d,1738972800000,96506.80000000,96880.00000000,95688.00000000,96444.74000000,10147.24294000,1739059199999,977040267.51586310,1757892,4450.52682000,428452764.90474110,0
BTCUSDT,1d,1739059200000,96444.75000000,97323.09000000,94713.00000000,96462.75000000,14120.91613000,1739145599999,1359495152.31079740,2293192,6663.72875000,641795598.17527620,0
BTCUSDT,1d,1739145600000,96462.75000000,98345.00000000,95256.00000000,97430.82000000,20572.87537000,1739231999999,1999112052.66878620,3475919,9607.62329000,933665618.50501910,0
BTCUSDT,1d,1739232000000,97430.82000000,98478.42000000,94876.88000000,95778.20000000,18647.76379000,1739318399999,1806534846.38631950,3716586,8594.50066000,832320054.87637160,0
BTCUSDT,1d,1739318400000,95778.21000000,98119.99000000,94088.23000000,97869.99000000,29151.16625000,1739404799999,2800142168.39436540,4992737,13820.70553000,1328044257.04013340,0
BTCUSDT,1d,1739404800000,97870.00000000,98083.91000000,95217.36000000,96608.14000000,19921.77616000,1739491199999,1916988246.39211860,3909456,8852.16215000,851823567.09393470,0
BTCUSDT,1d,1739491200000,96608.13000000,98826.00000000,96252.82000000,97500.48000000,18173.02646000,1739577599999,1768073218.86901540,3499564,9061.31682000,881925349.64442130,0
BTCUSDT,1d,1739577600000,97500.47000000,97972.26000000,97223.58000000,97569.66000000,7349.37683000,1739663999999,717245393.77809200,1694327,3579.14202000,349322778.23397690,0
BTCUSDT,1d,1739664000000,97569.67000000,97704.47000000,96046.18000000,96118.12000000,8191.42490000,1739750399999,794694242.29497320,1596701,3719.73063000,360842416.66441670,0
BTCUSDT,1d,1739750400000,96118.12000000,97046.59000000,95205.00000000,95780.00000000,16492.04510000,1739836799999,1584593526.17546780,2831237,8010.41565000,769979077.13619730,0
BTCUSDT,1d,1739836800000,95780.01000000,96753.91000000,93388.09000000,95671.74000000,23368.19471000,1739923199999,2223994802.89200520,4234248,11432.47367000,1088319233.52198970,0
